regio2,regio3,baseRent,totalRent,livingSpace,noRooms,balcony,hasKitchen,newlyConst,yearConstructed,price_per_sqm
Aachen,Westpark,924.0,1193.0,88.0,3.5,True,False,False,1973.0,10.5
Soest_Kreis,Werl,515.0,688.0,66.44,3.0,True,False,False,1963.0,7.751354605659242
Oberbergischer_Kreis,Radevormwald,409.0,609.0,73.0,3.0,False,False,False,1969.0,5.602739726027397
Krefeld,Stadtmitte,350.0,520.0,55.0,2.0,True,False,False,1973.0,6.363636363636363
Wesel_Kreis,Moers,350.0,,54.0,2.0,False,False,False,1960.0,6.481481481481482
Düsseldorf,Rath,915.0,1155.0,94.37,3.0,True,False,False,1928.0,9.695877927307407
Gelsenkirchen,Beckhausen,394.4,604.4,68.0,3.5,True,False,False,1960.0,5.8
Düsseldorf,Benrath,567.3,709.3,61.0,2.0,False,False,False,1922.0,9.299999999999999
Düsseldorf,Oberkassel,1420.0,1700.0,108.0,3.0,False,True,False,1956.0,13.148148148148149
Rhein_Sieg_Kreis,Bad_Honnef,450.0,660.0,52.0,2.0,True,False,False,1972.0,8.653846153846153
Neuss_Rhein_Kreis,Kaarst,570.0,710.0,54.0,2.0,False,False,False,1992.0,10.555555555555555
Lippe_Kreis,Detmold,450.0,,78.0,3.0,True,False,False,1969.0,5.769230769230769
Minden_Lübbecke_Kreis,Preußisch_Oldendorf,280.0,350.0,40.0,1.0,True,True,False,1997.0,7.0
Siegen_Wittgenstein_Kreis,Siegen,950.0,1200.0,105.0,4.0,False,True,False,1908.0,9.047619047619047
Solingen,Solingen_Mitte,400.0,1000.0,200.0,4.0,False,False,False,,2.0
Heinsberg_Kreis,Übach_Palenberg,360.0,570.0,75.0,3.0,False,True,False,1975.0,4.8
Recklinghausen_Kreis,Oer_Erkenschwick,520.0,780.0,115.0,3.0,True,False,False,1991.0,4.521739130434782
Düsseldorf,Rath,750.0,,83.0,3.0,True,False,False,1953.0,9.036144578313253
Mönchengladbach,Gladbach,200.0,290.0,27.0,2.0,False,False,False,,7.407407407407407
Herne,Börnig/Holthausen,345.0,415.0,48.0,2.0,False,False,False,1960.0,7.1875
Düsseldorf,Bilk,590.0,710.0,50.0,2.0,False,False,False,1965.0,11.8
Essen,Bochold,430.0,580.0,69.52,2.0,False,False,False,1927.0,6.185270425776755
Siegen_Wittgenstein_Kreis,Bad_Laasphe,450.0,570.0,110.0,4.0,False,False,False,1968.0,4.090909090909091
Wuppertal,Barmen,245.0,357.0,36.0,1.0,False,True,False,1960.0,6.805555555555555
Borken_Kreis,Bocholt,1350.0,,135.77,3.0,True,False,True,2019.0,9.943286440303453
Gelsenkirchen,Bulmke_Hüllen,403.0,503.0,71.9,2.0,False,False,False,,5.605006954102921
Gelsenkirchen,Bismarck,366.0,560.0,59.94,3.5,True,False,False,1973.0,6.106106106106107
Bielefeld,Schildesche,499.0,649.0,34.0,1.0,False,True,True,2017.0,14.676470588235293
Bottrop,Boy,490.0,675.0,83.0,2.0,True,False,False,1999.0,5.903614457831325
Minden_Lübbecke_Kreis,Porta_Westfalica,363.49,,75.0,3.0,True,False,False,1993.0,4.846533333333333
Märkischer_Kreis,Neuenrade,380.0,580.0,66.0,3.5,False,False,False,1967.0,5.757575757575758
Essen,Frohnhausen,525.0,675.0,75.0,2.5,False,False,False,1948.0,7.0
Essen,Steele,450.0,570.0,70.0,3.5,False,True,False,,6.428571428571429
Rheinisch_Bergischer_Kreis,Bergisch_Gladbach,675.0,,80.0,3.0,False,False,False,,8.4375
Paderborn_Kreis,Paderborn,650.0,840.0,92.0,3.0,True,True,False,1995.0,7.065217391304348
Recklinghausen_Kreis,Gladbeck,540.0,620.0,93.0,5.0,False,False,False,,5.806451612903226
Heinsberg_Kreis,Wassenberg,630.0,740.0,70.0,3.0,True,False,False,2017.0,9.0
Gütersloh_Kreis,Gütersloh,578.0,768.0,68.0,3.0,True,True,False,1994.0,8.5
Aachen_Kreis,Stolberg_Rheinland,675.0,925.0,97.0,4.0,True,False,False,2002.0,6.958762886597938
Recklinghausen_Kreis,Dorsten,510.0,675.0,78.0,3.5,False,False,False,1975.0,6.538461538461538
Essen,Altendorf,366.0,504.0,61.0,3.0,False,False,False,,6.0
Dortmund,Kurl,509.0,724.0,81.0,3.0,True,False,False,1978.0,6.283950617283951
Märkischer_Kreis,Lüdenscheid,565.5,835.5,87.0,3.0,True,False,False,1974.0,6.5
Wuppertal,Heckinghausen,430.0,,41.5,1.0,True,False,False,1984.0,10.36144578313253
Duisburg,Friemersheim,415.0,580.0,59.14,3.0,False,False,False,1111.0,7.0172472100101455
Duisburg,Marxloh,198.0,298.0,33.0,1.5,False,False,False,1918.0,6.0
Aachen_Kreis,Eschweiler,750.0,850.0,101.0,3.0,False,False,False,2014.0,7.425742574257426
Märkischer_Kreis,Iserlohn,338.0,528.0,75.0,2.0,False,False,False,,4.506666666666667
Gelsenkirchen,Schalke,550.0,700.0,78.3,3.0,False,False,True,2019.0,7.0242656449553005
Solingen,Solingen_Mitte,518.7,678.7,65.0,2.0,True,False,False,1988.0,7.98
Dortmund,Innenstadt,330.0,465.0,55.0,3.5,False,False,False,1910.0,6.0
Mettmann_Kreis,Monheim_am_Rhein,382.56,523.56,67.98,2.0,False,False,False,1973.0,5.627537511032656
Wuppertal,Oberbarmen,335.0,515.0,60.5,2.0,False,False,False,1905.0,5.537190082644628
Paderborn_Kreis,Delbrück,500.0,,53.74,2.0,True,False,True,2019.0,9.304056568663936
Düren_Kreis,Aldenhoven,400.0,650.0,65.0,2.0,False,True,False,,6.153846153846154
Duisburg,Fahrn,258.16,,64.0,2.0,True,False,False,1990.0,4.03375
Siegen_Wittgenstein_Kreis,Siegen,420.0,500.0,62.0,3.0,False,False,False,1920.0,6.774193548387097
Oberbergischer_Kreis,Engelskirchen,340.0,490.0,41.0,2.0,True,False,False,1992.0,8.292682926829269
Aachen_Kreis,Simmerath,400.0,530.0,55.0,2.0,False,False,False,1964.0,7.2727272727272725
Köln,Müngersdorf,1288.0,1728.0,104.0,3.0,True,False,False,,12.384615384615385
Unna_Kreis,Kamen,599.0,,99.32,4.0,True,False,False,1976.0,6.031010873942812
Euskirchen_Kreis,Kall,388.09,533.09,56.34,2.0,True,False,False,1984.0,6.888356407525736
Paderborn_Kreis,Paderborn,956.0,1169.0,95.66,4.0,True,False,True,2019.0,9.993727785908426
Wesel_Kreis,Moers,450.0,550.0,60.0,2.5,False,False,False,1956.0,7.5
Oberbergischer_Kreis,Radevormwald,640.0,760.0,72.0,3.0,True,False,False,2017.0,8.88888888888889
Soest_Kreis,Warstein,590.0,820.0,115.0,2.0,True,False,False,,5.130434782608695
Herne,Wanne,423.0,598.0,73.0,3.5,False,False,False,1901.0,5.794520547945205
Essen,Katernberg,436.09,688.09,74.0,3.0,True,False,False,1974.0,5.893108108108108
Essen,Bochold,347.0,480.0,57.71,2.0,False,False,False,1929.0,6.012822734361462
Düsseldorf,Unterrath,900.0,1150.0,93.27,3.0,True,False,False,2006.0,9.64940495336121
Warendorf_Kreis,Warendorf,660.0,,85.0,3.0,True,False,False,2010.0,7.764705882352941
Köln,Altstadt_&_Neustadt_Süd,960.0,,68.0,2.0,False,False,False,1955.0,14.117647058823529
Steinfurt_Kreis,Rheine,560.0,675.0,81.0,3.0,False,False,False,1982.0,6.91358024691358
Wuppertal,Barmen,1195.0,1515.0,100.0,3.0,True,True,False,2004.0,11.95
Warendorf_Kreis,Telgte,206.14,,28.79,1.0,False,False,False,1991.0,7.160125043417853
Essen,Frohnhausen,364.0,564.0,55.1,2.5,True,False,False,1980.0,6.606170598911071
Essen,Altendorf,634.0,841.0,104.0,3.0,True,False,False,,6.096153846153846
Rhein_Erft_Kreis,Hürth,1240.0,1490.0,137.0,3.0,True,True,False,1983.0,9.05109489051095
Recklinghausen_Kreis,Marl,275.0,415.0,55.0,2.5,False,False,False,1924.0,5.0
Köln,Rath/Heumar,750.0,1000.0,99.0,3.0,True,False,False,1980.0,7.575757575757576
Recklinghausen_Kreis,Gladbeck,280.0,425.0,52.0,2.5,True,False,False,1977.0,5.384615384615385
